Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
77265;F08008592;CARTAÑA GAMEZ, M. CARME;BARCELONA;MARAGALL;08027;PASSEIG;106;933518414;BARCELONA 9-C
77266;F08008602;SORNI HUBRECHT, MARIA DOLORES;BARCELONA;MANDRI;08022;CARRER;6;934171028;BARCELONA 5-B
77267;F08008610;GOMEZ MARTINEZ, JESUS CARLOS;BARCELONA;VERGE DE MONTSERRAT;08026;AVINGUDA;143;934555139;BARCELONA 7-A
77268;F08008627;BLANC MELIA, BEATRIZ/BLANC MELIA, JAVIER;BARCELONA;CONCEPCIO ARENAL;08027;CARRER;124;933528655;BARCELONA 9-c
77269;F08008634;ANFRUNS ESPUÑA, TERESA;LA POBLA DE LILLET;PORXOS;08696;CARRER;22;938236110;ALT BERGUEDA
77270;F08008659;GONZALEZ SIGNES/NAVARO MARCO;BARCELONA;DIAGONAL;08028;AVINGUDA;197;;BARCELONA 10-A
77271;F08008666;TRILLA GARCIA, JUAN JOSE;BARCELONA;GUADIANA;08014;CARRER;39;934214727;BARCELONA 3-E
77272;F08008673;RIAZA SOLER/GISPERT SERRATS;BARCELONA;COMANDANT BENITEZ;08028;CARRER;30;934214727;BARCELONA 4-C
77273;F08008698;BOSCH SAIS, ROSER;HOSPITALET DE LLOBREGAT L';COTONAT;08904;CARRER;38;932491261;HOSPITALET DE LLOBREGAT 3
77274;F08008708;ABAD PALACIN, MIRIAM;LA ROCA DEL VALLES;MESTRES I TORRENTS;08430;RAMBLA;23;938420742;ROCA DEL VALLES, LA
77275;F08008715;SURRIBAS LLANSO,M.DOLORS/CASERAS SURRIBAS,ANNA;BARCELONA;CAPITA ARENES;08034;CARRER;62;932033794;BARCELONA 5-C
77276;F08008722;FERRER DE GOMIS, M.TERESA;BARCELONA;GRAN VIA CORTS CATALANES;08004;CARRER;216;933121071;BARCELONA 3-B
77277;F08008730;XURIGUERA HERNANDEZ,XAVIER;BARCELONA;CONSELL DE CENT;08013;CARRER;575;932315260;BARCELONA 2-I
77278;F08008754;GARRABE CANET, M.TERESA;BARCELONA;DANTE ALIGHIERI;08032;CARRER;118;932293710;BARCELONA 7-D
77279;F08008761;FARRE/ROMA;BARCELONA;FORMENTERA;08016;CARRER;44;933540183;BARCELONA 8-I
77280;F08008779;OROBITG BLANCH, ANNA;BARCELONA;MASFERRER (TDA-1);08028;CARRER;16;933307817;BARCELONA 4-B
77281;F08008786;CAMPO GÜERRI, M. LOURDES;BARCELONA;TAQUIGRAF SERRA;08029;CARRER;3;934393853;BARCELONA 4-A
77282;F08008793;ROYO BARGUES, TERESA;BARCELONA;TUSET;08006;CARRER;34;932094541;BARCELONA 5-A
77283;F08008803;GIRO PEYRA, MARIA J./FORNS GIRO, FERNANDO;BARCELONA;MARE DE DEU DEL PORT;08038;CARRER;234;933322194;BARCELONA 3-H
77284;F08008810;CASTELLVI ALTIMIRA, JOSEP;BARCELONA;CARDENAL SENTMENAT;08017;CARRER;35;932031037;BARCELONA 5-C
77285;F08008828;ANDRADES FRANCIA,A/ANDRADES FRANCIA,J.L.;HOSPITALET DE LLOBREGAT L';GENERAL PRIM;08902;CARRER;37;933314046;HOSPITALET DE LLOBREGAT 5
77286;F08008835;PONS CASALS, PATRICIA;SANT PERE DE TORELLO;SANT FELIU;08572;CARRER;1;938584035;VALL DEL GES, LA*
77287;F08008842;TOUS TREPAT, SALVADOR/TOUS TREPAT, XAVIER;BARCELONA;JORDI GIRONA;08034;CARRER;2;932038493;BARCELONA 4-C
77288;F08008867;FANDO REYNES, NEUS;BARCELONA;JOAN MIRO;08019;CARRER;24;933071987;BARCELONA 10-A
