Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
76471;F08000025;BERTRAN AMBROS, ROSA MARIA;PUIG-REIG;SANT JORDI;08692;CARRER;11;938290385;BAIX BERGUEDA
76472;F08000032;ABRIL GARCIA, MARIA;ARENYS DE MAR;BISBE POL;08350;RIERA;72;937923301;ARENYS DE MAR
76473;F08000040;RIGOLA GARROFE, DOLÇA;ARENYS DE MAR;ESGLESIA;08350;PLAÇA;3;937920237;ARENYS DE MAR
76474;F08000057;MIAS NAVARRO, MIREIA;ARENYS DE MUNT;SANT MARTI;08358;RAMBLA;56;937938201;ARENYS DE MAR
76475;F08000064;GUILLEN VIDAL, M NURIA;ARGENTONA;GRAN;08310;CARRER;22;937971262;ARGENTONA
76476;F08000071;BOIXAREU CARRERA,M.ANGELS;ARTES;ROCAFORT;08271;CARRER;26;938305265;ARTES*
76477;F08000089;MIMO CALLIS, LLUIS;AIGUAFREDA;RIBES;08591;CARRETERA;25;938440809;GARRIGA,LA*
76478;F08000096;JOFRESA PRATS, E/PORTILLO SAAVEDRA, P;BADALONA;PRIM;08911;CARRER;156;933840455;BADALONA 2
76479;F08000106;JIMENEZ GONZALEZ/GONZALEZ NUÑEZ;BADALONA;CANONGE BARANERA;08911;CARRER;60;933840453;BADALONA 2
76480;F08000113;AGUILAR CALVO, ADELA;BADALONA;FRANCESC LAYRET;08911;CARRER;83;933895208;BADALONA 2
76481;F08000120;SALLA CLAROS, JOSEPA;BADALONA;MARQUES DE SANT MORI;08913;AVINGUDA;16 bis;933887301;BADALONA 6
76482;F08000138;FAURA MONGUIO,MONTSERRAT;BADALONA;ALFONS XIII;08915;AVINGUDA;256;933870343;BADALONA 7-B (LA SALUT)
76483;F08000145;BOSCASA SANCHEZ-PASCUALA, EVA;BADALONA;ALFONS XIII;08913;AVINGUDA;615;933873194;BADALONA 5
76484;F08000152;PRAT MONGUIO, SALOME;BADALONA;PEP VENTURA;08912;PLAÇA;3;933872193;BADALONA 3
76485;F08000160;PRAT MARTORI, ANNA;BADALONA;FRANCESC MACIA;08912;CARRER;94-96;933870647;BADALONA 3
76486;F08000177;BERNAT BARRIGA, M.MONTSERRAT;BADALONA;CONQUESTA;08912;CARRER;53;933842906;BADALONA 3
76487;F08000184;VALERO BARLABE, FRANCESC X.;BADALONA;GUIFRE;08912;CARRER;184;933830657;BADALONA 3
76488;F08000191;GARCIA-VELA GRACE, MARTA;BADALONA;PIUS XII;08913;CARRER;1-7;933876154;BADALONA 6
76489;F08000201;SEGARRA DOLSET, SILVIA;BADALONA;ALFONS  XIII;08918;AVINGUDA;555;933872749;BADALONA 5
76490;F08000219;SERENTILL TOST, SALVADOR;BADALONA;MAR;08911;CARRER;23;933841233;BADALONA 2
76491;F08000226;TORRAS SURROCA, SARA M;BADALONA;MAR;08911;CARRER;76;933845614;BADALONA 2
76492;F08000233;FERRER FONT,M/ CLAPES ARQUER, A.M.;BADALONA;MARTI PUJOL;08912;AVINGUDA;133;933844806;BADALONA 2
76493;F08000240;IGLESIAS LLAGOSTERA, ALBERT;BALSARENY;BERGA;08660;CARRETERA;2;938396128;NAVAS/BALSARENY*
76494;F08000258;COSP BOIXADER, MARIA;BERGA;DE LA PAU;08600;PASSEIG;55;938210125;BERGA
76495;F08000265;VILA CALONGE MA. CRISTINA;BERGA;CIUTAT;08600;CARRER;41;938210518;BERGA
76496;F08000272;SAZ CARAZO, NEUS;BERGA;DEL CANAL INDUSTRIAL;08600;AVINGUDA;14-18;938210135;BERGA
76497;F08000280;ALVAREZ DE LA CAMPA FAYOS,ALVAR;BERGA;GRAN VIA;08600;CARRER;28;938210402;BERGA
76498;F08000297;FONT SABALA, MERITXELL;CALAF;SANTA CALAMANDA;08280;PASSEIG;7;938698506;CALAF*
76499;F08000307;CODINA SAMPERA, SALVADOR;CALDES DE MONTBUI;FORN;08140;CARRER;7;938650097;CALDES DE MONTBUI*
76500;F08000314;TIBAU MAYNOU,RAFEL;CALDES DE MONTBUI;PI I MARGALL;08140;AVINGUDA;36-38;938650146;CALDES DE MONTBUI*
76501;F08000321;AREALES VERA, CESAREO;CALDES D'ESTRAC;LA RIERA;08393;CARRER;20;937912732;SANT ANDREU DE LLAVANERES
76502;F08000353;NOE NADAL, AGUSTI;CALELLA;ESGLESIA;08370;CARRER;116;937690791;CALELLA
76503;F08000360;MARTINEZ ALVAREZ, EMILIO;CANET DE MAR;GAVARRA;08360;RIERA;23;937940045;CANET DE MAR
76504;F08000378;CODINA SABATER, MARTA;CAPELLADES;VERDAGUER;08786;PLAÇA;3;938010082;CAPELLADES
76505;F08000385;AUQUE REGAÑO, BERNAT;CARDEDEU;SANT ANTONI;08440;CARRER;11;938461071;CARDEDEU
76506;F08000392;FORES JOVER, MARIA CINTA;CARDEDEU;DIAGONAL FIVALLER;08440;CARRER;8;938461169;CARDEDEU
76507;F08000402;SALA  ESTEBAN, JOSEP M.;CARDONA;DEL CAMBRAS;08261;CARRER;5;938691165;CARDONA*
76508;F08000427;SALA QUERALT,MANUEL/SALA ARNAU,MARIA;CARDONA;MERCAT;08261;PLAÇA;1;938691049;CARDONA*
76509;F08000434;RODRIGUEZ YANGÜELA, TANIA;CASTELLAR DEL VALLES;TORRAS;08211;CARRER;2;937145289;CASTELLAR DEL VALLES
76510;F08000441;ROS CASANOVAS, ROSALINA;CASTELLAR DEL VALLES;SANT ESTEVE;08211;AVINGUDA;3;937145233;CASTELLAR DEL VALLES
76511;F08000459;ESCUDERO MARTINEZ, PASCUAL/ESCUDERO PORTERA,MONICA;CASTELLBISBAL;ESGLESIA;08755;PLAÇA;8;937720134;CASTELLBISBAL
76512;F08000466;CARRION RIBAS, JOAN ANTON;CASTELLTERÇOL;DE MIG;08183;CARRER;1;938668033;MOIA
76513;F08000473;GUILLERMO MARTINEZ, ANTONIO;CASTELLBELL I EL VILAR;CATALUNYA;08296;AVINGUDA;4B;938282179;MONTSERRAT
76514;F08000480;FELIU TORRENT, IMMACULADA;CENTELLES;SOCOS;08540;CARRER;2;938810182;CENTELLES
76515;F08000498;BARNOLAS PUIGBO, MARIA PILAR;CENTELLES;NOU;08540;CARRER;7;938810985;CENTELLES
76516;F08000508;COPETE PERALTA`, JAVIER/QUERO GUERRERO, M.CARMEN;CORNELLA DE LLOBREGAT;RUBIO I ORS;08940;CARRER;182;934744572;CORNELLA DE LLOBREGAT 1
76517;F08000515;GELABERT CAMPRUBI, RAMON;CORNELLA DE LLOBREGAT;RUBIO i ORS;08940;CARRER;128;933770011;CORNELLA DE LLOBREGAT 1
76518;F08000522;LOPEZ-YBARRA FLORES, ROCIO;ESPARREGUERA;AJUNTAMENT;08292;PLAÇA;14;937771144;ESPARREGUERA
76519;F08000530;FLORENSA BERENGUER, MIREIA;ESPARREGUERA;GRAN;08292;CARRER;33;937771189;ESPARREGUERA
76520;F08000547;SANS BALLESTER, SILVIA;ESPLUGUES DE LLOBREGAT;ANGEL GUIMERA;08950;CARRER;130;933710393;ESPLUGUES DE LLOBREGAT 2
76521;F08000554;JENE BORRAS, FRANCESC;ESPLUGUES DE LLOBREGAT;ANGEL GUIMERA;08950;CARRER;9;933718877;ESPLUGUES DE LLOBREGAT 2
76522;F08000579;COMAPOSADA BERINGUES, JOSEFINA;LA GARRIGA;CENTRE;08530;CARRER;29;938718314;GARRIGA,LA*
76523;F08000586;SUÑOL GENIS, MARTI;LA GARRIGA;CENTRE;08530;CARRER;10;938714686;GARRIGA,LA*
76524;F08000593;MUÑOZ MENDEZ, DANIEL;GAVA;JOAQUIM VAYREDA;08850;RAMBLA;24;936620388;GAVA 2
76525;F08000603;RIVERO MORENO, BEATRIZ;GAVA;DIAGONAL;08850;CARRER;7;936620144;GAVA 2
76526;F08000610;RIBAL BARRERA, MARIA EVA;GELIDA;MAJOR;08790;CARRER;8;937790003;MARTORELL RURAL
76527;F08000628;BOVET PLA, M. TURA/FRANCH MASFERRER, ANGELS;GIRONELLA;CATALUNYA;08680;AVINGUDA;30;938250082;BAIX BERGUEDA
76528;F08000635;GUIXE SIMON, XAVIER;GIRONELLA;CATALUNYA;08680;AVINGUDA;53;938250177;BAIX BERGUEDA
76529;F08000642;ARIMANY BARCELO, MARINA;GRANOLLERS;JOSEP MALUQUER i SALVADOR;08400;PLAÇA;11;938794029;GRANOLLERS 3-CENTRE EST
76530;F08000650;TORRENTS ARNALDICH, NURIA;GRANOLLERS;ANSELM CLAVE;08400;CARRER;31;938700259;GRANOLLERS 3-CENTRE EST
76531;F08000667;VIÑAMATA NEBOT, ISABEL;GRANOLLERS;MUSEU;08400;CARRER;20-22;938794018;GRANOLLERS 3-CENTRE EST
76532;F08000674;PARERA BONANY, MARIA;GRANOLLERS;DE L'OLI;08400;PLAÇA;3;938700038;GRANOLLERS 3-CENTRE EST
76533;F08000681;BRETCHA FORNS, MARTA;GRANOLLERS;JOAN PRIM;08400;CARRER;29;938403900;GRANOLLERS 3-CENTRE EST
76534;F08000699;VILADES FREIXA, JOSEP;GUARDIOLA DE BERGUEDA;RIBES;08694;CARRETERA;1;938240006;ALT BERGUEDA
76535;F08000709;BERTRAN GOMEZ, MONTSERRAT/CAMACHO PELAEZ, SARA;HOSPITALET DE LLOBREGAT L';PROGRES;08903;CARRER;85;932495169;HOSPITALET DE LLOBREGAT 3
76536;F08000716;HUGUET HIGUERAS, LLUIS;HOSPITALET DE LLOBREGAT L';COLLBLANC;08903;CARRETERA;50;932490064;HOSPITALET DE LLOBREGAT 3
76537;F08000723;PUJADAS SARET,A/PUJADAS PIULACHS,A/PUJADAS PIULACHS,X;HOSPITALET DE LLOBREGAT L';LLOBREGAT;08904;CARRER;136;934495136;HOSPITALET DE LLOBREGAT 4
76538;F08000730;HUGUET TERMES, MARIA TERESA;HOSPITALET DE LLOBREGAT L';MAJOR;08901;CARRER;34;933370637;HOSPITALET DE LLOBREGAT 1
76539;F08000748;ALAMOS LOPEZ, PILAR;HOSPITALET DE LLOBREGAT L';DR.MARTI I  JULIA;08903;CARRER;177;934313391;HOSPITALET DE LLOBREGAT 4
76540;F08000755;MORALES PUJOL, CARMEN;HOSPITALET DE LLOBREGAT L';DR.MARTI JULIA;08903;CARRER;63;932497264;HOSPITALET DE LLOBREGAT 3
76541;F08000762;DASCA DE MOXO, M TERESA;HOSPITALET DE LLOBREGAT L';MARINA;08901;RAMBLA;441;933370072;HOSPITALET DE LLOBREGAT 1
76542;F08000770;MIRANDA MUÑOZ, ALEXANDRE;HOSPITALET DE LLOBREGAT L';MAJOR;08901;CARRER;19;933370430;HOSPITALET DE LLOBREGAT 1
76543;F08000787;ZABALA DE OLEZA, RAFAEL;HOSPITALET DE LLOBREGAT L';APRESTADORA;08902;CARRER;80;933318444;HOSPITALET DE LLOBREGAT 6
76544;F08000794;DE GABRIEL BLASCO, CARLES;HOSPITALET DE LLOBREGAT L';PUJÓS;08904;CARRER;49;932494923;HOSPITALET DE LLOBREGAT 3
76545;F08000804;PUIG ROMEU, JOSEP MA.;HOSPITALET DE LLOBREGAT L';PROGRES;08904;CARRER;39;932493246;HOSPITALET DE LLOBREGAT 3
76546;F08000811;BALSELLS TURMO,ELIA/BALSELLS TURMO,MARTA;HOSPITALET DE LLOBREGAT L';SANTA EULALIA;08902;CARRER;97;933315698;HOSPITALET DE LLOBREGAT 5
76547;F08000829;MORENO MURILLO, RAQUEL;HOSPITALET DE LLOBREGAT L';ENRIC PRAT DE LA RIBA;08901;CARRER;161;933372556;HOSPITALET DE LLOBREGAT 2
76548;F08000836;MISERACHS SOLA, ANNA;IGUALADA;NOVA;08700;RAMBLA;1;938030598;IGUALADA-1
76549;F08000843;BAUSILI LOPEZ-SAEZ, JUAN BOSCO;IGUALADA;BORN;08700;CARRER;9;938031933;IGUALADA-1
76550;F08000850;GODO SOLER, JOSEP;IGUALADA;DE LA CREU;08700;PLAÇA;7;938031488;IGUALADA-1
76551;F08000868;SINGLA BARCELO, RAMON;IGUALADA;MESTRE MONTANER;08700;AVINGUDA;23-26;938050479;IGUALADA-2
76552;F08000875;TORELLO ENRICH, JORDI;IGUALADA;MOSSEN JACINT VERDAGUER;08700;PASSEIG;82;938031873;IGUALADA-1
76553;F08000890;PERICH TOMAS, FRANCESC;LLINARS DEL VALLES;SANTIAGO RUSIÑOL;08450;CARRER;31-33;938410094;ALT MOGENT
76554;F08000900;BUÑOL TORDERA, PERE;MALGRAT DE MAR;MAR;08380;CARRER;80;937654021;MALGRAT DE MAR
76555;F08000917;VILADEVALL MASENS,S/VILADEVALL GARRIGA,N;MALGRAT DE MAR;CARME;08380;CARRER;28;937610146;MALGRAT DE MAR
76556;F08000924;FERRER CHAMBO,V./FERRER CHAMBO,T.;MANLLEU;FRA BERNADI;08560;PLAÇA;18;938510240;MANLLEU
76557;F08000931;AUTET GUBIERAS, ASSUMPTA;MANLLEU;DE LA FONT;08560;CARRER;15;938511034;MANLLEU
76558;F08000949;ESPONA GRIFOL,MONTSERRAT;MANLLEU;SANT JOAN;08560;PASSEIG;115;938507203;MANLLEU
76559;F08000956;TALAVERON PLANAS, CRISTOFOL;MANRESA;ANGEL GUIMERA;08241;CARRER;23;938721505;MANRESA 2
76560;F08000963;COMAS  RIU, MA.TERESA;MANRESA;ANSELM CLAVE;08241;PLAÇA;1;938721323;MANRESA 1*
76561;F08000970;PAVIA PARDO, JAVIER;MANRESA;CARDONA;08241;CARRETERA;19;938725517;MANRESA 1*
76562;F08000995;BONSFILLS PONT, JOANA;MANRESA;BALMES;08242;CARRER;41;938730133;MANRESA 3
76563;F08001004;OLTRA ROVIRA, M.ASSUMPTA;MANRESA;MURALLA DEL CARME;08241;CARRER;16;938722771;MANRESA 3
76564;F08001011;ESTEVE CRUELLA, ANTONI;MANRESA;PLANA DE L'OM;08241;PLAÇA;4;938720509;MANRESA 1*
76565;F08001029;RUYRA PAGES, PERE;MANRESA;MAJOR;08241;PLAÇA;12;938723742;MANRESA 1*
76566;F08001036;ANGUERA FARRAN, TERESA/CUCURULL MATEU, CRISTINA;MANRESA;PERE III;08242;PASSEIG;1;938721715;MANRESA 2
76567;F08001043;GRAU VILALTA, LAIA;MANRESA;VIC;08241;CARRETERA;59;938772987;MANRESA 3
76568;F08001050;ALIER CARRION, TERESA;MANRESA;INFANTS;08241;PLAÇA;2;938721984;MANRESA 1*
76569;F08001068;COMAS RIU, RICARD;MANRESA;BORN;08241;CARRER;30;938721359;MANRESA 1*
76570;F08001075;SALA AUVI, M.ANGELS;MANRESA;SANT MIQUEL;08241;CARRER;10;938721767;MANRESA 1*
76571;F08001082;ARROYO SAINZ, ROSA MARIA;MANRESA;SANT IGNASI;08241;PLAÇA;13;938721389;MANRESA 4
76572;F08001090;TRAPE PUJOL, JOSEP;MANRESA;SOBRERROCA;08241;CARRER;40;938722180;MANRESA 1*
76573;F08001100;ROVIRA BERGER, LAIA;MARTORELL;PAU CLARIS;08760;CARRER;3;937750239;MARTORELL
76574;F08001117;MASSANEDA ROVIRA, JOAQUIM;MARTORELL;MESTRE VICENÇ RODRIGUEZ;08760;PLAÇA;1;937751897;MARTORELL
76575;F08001124;CARDONA TRULLAS, M. JOSEP;EL MASNOU;PRAT DE LA RIBA;08320;PASSEIG;23;935550403;OCATA-TEIA
76576;F08001131;RIERA SERRAT, EMILI;EL MASNOU;JOSEP LLIMONA;08320;CARRER;22;935550855;EL MASNOU-ALELLA
76577;F08001149;JIMENEZ TORT, SÍLVIA;MASQUEFA;MAJOR;08783;CARRER;1;937725301;MARTORELL RURAL
76578;F08001156;PLANA BORRAS, JULIANA;MATARO;CUBA;08302;PLAÇA;4;937985550;MATARO 1
76579;F08001163;DE LA PEÑA VILLALAIN ROSA M;MATARO;RAMBLA;08302;CARRER;16;937902024;MATARO 1
76580;F08001170;COLL FABRES, ENRIC;MATARO;SANT JOSEP;08302;CARRER;30;937904340;MATARO 1
76581;F08001188;MONTANER PICART, MONTSERRAT;MATARO;LA RIERA;08302;CARRER;57;937901030;MATARO 1
76582;F08001195;ROCA ALBERO, M. PILAR;MATARO;NOU;08301;CARRER;1-3;937901957;MATARO 2
76583;F08001205;COLL PAGES, TERESA/DEL RIO DURAN, RAQUEL;MATARO;SANT CRISTOFOR;08301;CARRER;1;937960908;MATARO 2
76584;F08001212;SPA VERA, RAMON;MATARO;SANTA MARIA;08301;PLAÇA;3;937901043;MATARO 2
76585;F08001220;VILARDELL GARRIGA, A.L.;MATARO;PUIG I CADAFALCH;08303;AVINGUDA;256;937982550;MATARO 5
76586;F08001237;XUCLA BAS, MARIANO (HEREUS);MOLINS DE REI;MAJOR;08750;CARRER;100;936681994;MOLINS DE REI
76587;F08001244;ROCA BRUNET, JUDIT/MAURI ROCA, M FE;MOLINS DE REI;MAJOR;08750;CARRER;31;936684949;MOLINS DE REI
76588;F08001251;CANALS PALAU,MARIA/SABORIT SANCLIMENT,ROBERT;MOLINS DE REI;PI I MARGALL;08750;CARRER;11;936681429;MOLINS DE REI
76589;F08001269;ROVIROSA OLIVE, SALVADOR;MOLLET DEL VALLES;BERENGUER III;08100;CARRER;64;935930095;MOLLET DEL VALLES-1 EST
76590;F08001276;AMADO DEL PINO, MARGARIDA;MOLLET DEL VALLES;PRAT DE LA RIBA;08100;PLAÇA;17;935930161;MOLLET DEL VALLES-1 EST
76591;F08001283;RAMON TUGAS, MONTSERRAT;MOLLET DEL VALLES;CATALUNYA;08100;PLAÇA;1;935930099;MOLLET DEL VALLES-1 EST
76592;F08001290;RELAT ROCA, JOSEP;MONTCADA I REIXAC;MAJOR;08110;CARRER;89;935641481;MONTCADA I REIXAC 1
76593;F08001300;GUIX MESTRES, MONTSERRAT;MONTCADA I REIXAC;MAJOR;08110;CARRER;25;935641645;MONTCADA I REIXAC 1
76594;F08001318;VILA MOGAS, JOAN;MONTCADA I REIXAC;JAUME I;08110;CARRER;26;935643315;MONTCADA I REIXAC 1
76595;F08001325;CIRICI GASCH, MANUEL;MONTGAT;SANT JORDI;08390;RIERA;14;934691187;MONTGAT
76596;F08001332;RUYRA RIPOLL, ÀNGELS;MONISTROL DE MONTSERRAT;PONT;08691;CARRER;31;938350129;MONTSERRAT
76597;F08001340;RUIZ PLANAS, MONTSERRAT;SANTA MARGARIDA I ELS MONJOS;CATALUNYA;08730;AVINGUDA;66;938980002;PENEDES-RURAL*
76598;F08001357;ADRADOS DE MIGUEL,MA.CANDELA;MOIA;DE LA VILA;08180;AVINGUDA;18;938300417;MOIA
76599;F08001364;ROSADO CONEJO, LAIA;NAVARCLES;FORTIA SOLA;08270;CARRER;9;938310033;NAVARCLES-ST FRUITOS DE BAGES*
76600;F08001371;RIERA MARISTANY, MARTI;NAVAS;DE BERGA;08670;CARRETERA;59;938390173;NAVAS/BALSARENY*
76601;F08001389;BERENGUER AMENOS, ANNA / FLORENSA BERENGUER, ANNA M.;OLESA DE MONTSERRAT;JOSEP ANSELM CLAVE;08640;CARRER;114;937780186;OLESA DE MONTSERRAT
76602;F08001406;REIXACH MORERA, M.ASSUMPTA;SANTA MARIA DE PALAUTORDERA;MAJOR;08460;CARRER;44;938480030;SANT CELONI*
76603;F08001413;HUGUET PLANES, ARACELI;PALLEJA;PRAT DE LA RIBA;08780;CARRER;26;936683559;PALLEJA
76604;F08001420;BARJA GONZALEZ, M ISABEL;PARETS DEL VALLES;RAVAL;08150;CARRER;26;935737512;PARETS DEL VALLES
76605;F08001438;RECASENS ISART, MIQUEL;PIERA;SANT CRISTOFOL;08784;CARRER;3;937788232;PIERA
76606;F08001445;COSTA PERICH, FRANCESCA;PINEDA DE MAR;DEL MAR;08397;CARRER;14-A;937623187;PINEDA DE MAR
76607;F08001460;ALVAREZ RODRIGUEZ/QUINTANA TOMAS;EL PRAT DE LLOBREGAT;MAJOR;08820;CARRER;12;933790601;PRAT DE LLOBREGAT 1
76608;F08001477;GARRIGA/GUIMERA;EL PRAT DE LLOBREGAT;CENTRE;08820;CARRER;15;933703802;PRAT DE LLOBREGAT 1
76609;F08001484;FABRO YAGUE, M.MERCE;EL PRAT DE LLOBREGAT;FERRAN PUIG;08820;CARRER;8;933790122;PRAT DE LLOBREGAT 1
76610;F08001491;CAMPOS ROVIRA, JOAQUIM;PRATS DE LLUÇANES;MAJOR;08513;CARRER;35;938560287;LLUÇANES
76611;F08001501;PUEYO SALVADOR, JORDI;PREMIA DE MAR;RIERA DE PREMIA;08330;CARRER;16;937529042;PREMIA DE MAR
76612;F08001533;PICO GODOY, MONTSERRAT;PUIG-REIG;DE LA CREU;08692;PLAÇA;9;9,8380042;BAIX BERGUEDA
76613;F08001558;SELVA MARTI, JOSEP M.;RIPOLLET;CALVARI;08291;CARRER;3;936921809;RIPOLLET-1
76614;F08001565;TORRENT CARDELUS/FELIU TORRENT;RODA DE TER;MAJOR;08510;PLAÇA;7;938540058;RODA DE TER
76615;F08001572;PARRILLA LEAL, MARIA;RUBI;XERCAVINS;08191;CARRER;2;936991305;RUBI 1
76616;F08001580;CARULLA BATALLE, MARC;RUBI;FRANCESC MACIA;08191;PASSEIG;23;936990430;RUBI 2
76617;F08001597;COLOMINA BRUSAU, M.ROSA;SABADELL;LUSITANIA LOCAL 49;08206;CARRER;2;937162335;SABADELL 4-A
76618;F08001607;BAGAN TAPIOLES, MONTSERRAT;SABADELL;CARME;08202;CARRER;10;937250303;SABADELL 1-A
76619;F08001614;ARGELAGUET ARGEMI, SANTIAGO;SABADELL;SANT ANTONI MARIA CLARET;08202;CARRER;21;937450537;SABADELL 1-A
76620;F08001621;VINYES SANT, JOAN;SABADELL;DE SABADELL;08202;RAMBLA;235;937255710;SABADELL 1-A
76621;F08001639;CRUSAFONT SABATE, ANNA M.;SABADELL;COLOM;08201;CARRER;13;937250777;SABADELL 1-A
76622;F08001646;TORRES COSTA,LOURDES/MATARRANZ TORRES,LAIA;SABADELL;PRATS DE LLUÇANES;08208;CARRETERA;84-89 (LOCAL B);937161383;SABADELL 2
76623;F08001653;BLANCHART CAPDET, MIQUEL;SABADELL;DE MASSAGUE;08202;VIA;40;937252577;SABADELL 1-A
76624;F08001660;GILI SEGURA, MARTA;SABADELL;DE L'ANGEL;08202;PLAÇA;12;937251175;SABADELL 1-A
76625;F08001678;GARRIGA MAJO, ANNA;SABADELL;DE LA PLAÇA MAJOR;08208;PASSEIG;29;937255353;SABADELL 1-A
76626;F08001685;PONS SAMARANCH, ISABEL;SABADELL;MARQUILLES;08202;PLAÇA;4;937256745;SABADELL 1-A
76627;F08001692;SEGALAS CARRERAS, M. MERCE;SABADELL;RAMBLA;08201;CARRER;26;937257319;SABADELL 1-A
76628;F08001702;MIAS POBLET, M.DOLORS (HEREUS);SABADELL;BARBERA;08203;AVINGUDA;48;937101343;SABADELL 1-B
76629;F08001710;MORALES GUARCH, M.DOLORS;SABADELL;RAMBLA;08202;CARRER;165;937250518;SABADELL 1-A
76630;F08001727;LLOP TALAVERON, JORDI.J;SABADELL;DE LA PLAÇA MAJOR;08208;PASSEIG;58;937258945;SABADELL 1-A
76631;F08001734;GUERRERO BALLESTA, JOSEP M;SALLENT;ANGEL GUIMERA;08201;CARRER;2;938370046;SALLENT
76632;F08001741;FRANCH MASFERRER,JOSEP;SALLENT;DE LA PAU;08206;PLAÇA;3;938370022;SALLENT
76633;F08001759;ALBEROLA SOLANAS, YOLANDA;SANTPEDOR;ANGEL GUIMERA;08251;CARRER;5;938320057;NAVARCLES-ST FRUITOS DE BAGES*
76634;F08001766;CLAPES COLLANTES, AÏDA;SANT ADRIA DE BESOS;CATALUNYA;08930;AVINGUDA;50-52;933810132;SANT ADRIA BESOS 1
76635;F08001773;BOLOS CAUSADIAS, ESPERANÇA;SANT ADRIA DE BESOS;CATALUNYA;08930;AVINGUDA;92-94;933811804;SANT ADRIA BESOS 1
76636;F08001780;GÜELL VERDAGUER, GEMMA;SANT ANTONI DE VILAMAJOR;ALFONS I;08459;AVINGUDA;27;938450057;ALT MOGENT
76637;F08001798;CALVO DELGADO, JOSE MARIA;SANT BOI DE LLOBREGAT;GENERAL O'DONNELL;08830;CARRER;59;936400219;SANT BOI DE LLOBREGAT 1
76638;F08001808;TORNERO BERGOS, SONIA;SANT BOI DE LLOBREGAT;AJUNTAMENT;08830;PLAÇA;9;936610019;SANT BOI DE LLOBREGAT 1
76639;F08001815;VAQUER FONTANET, ANNA;SANT BOI DE LLOBREGAT;MAJOR;08830;CARRER;23;936400006;SANT BOI DE LLOBREGAT 1
76640;F08001822;DRAPER ARENAS, M/DRAPER CASAS,MA. DEL MAR;SANT CELONI;MAJOR;08470;CARRER;115;938670374;SANT CELONI*
76641;F08001830;SANCHO CASADESUS, CONCEPCIO;SANT CELONI;MAJOR;08470;CARRER;125;938670167;SANT CELONI*
76642;F08001847;OLLE PADROS, EULALIA;SANT CUGAT DEL VALLES;SANTA MARIA;08172;CARRER;27;936741531;SANT CUGAT DEL VALLES-1
76643;F08001854;MAGRO SALAVERT, MARIA DOLORES;SANT CUGAT DEL VALLES;SANTIAGO RUSIÑOL;08172;CARRER;38;936740645;SANT CUGAT DEL VALLES-1
76644;F08001861;GONZALEZ PEREZ,E/GARCIA FERNANDEZ,S;SANT FELIU DE CODINES;DOCTOR ROBERT;08182;PLAÇA;8;938660097;CALDES DE MONTBUI*
76645;F08001879;PARES TEMPLER, SYLVIA;SANT FELIU DE LLOBREGAT;JOAN BATLLORI;08980;CARRER;8;936668867;SANT FELIU DE LLOBREGAT 1
76646;F08001886;TAULE MARTI,JORDI/MARTI GARCIA,CRISTINA/MARTI GARCIA,MARTA;SANT FELIU DE LLOBREGAT;LAUREA MIRO;08980;CARRETERA;177;936661095;SANT FELIU DE LLOBREGAT 1
76647;F08001893;CALM NOGUES, JORDI/CALM NOGUES,ROSALIA;SANT FELIU DE LLOBREGAT;SANTA CREU;08980;CARRER;16;936662912;SANT FELIU DE LLOBREGAT 2
76648;F08001903;SANCHEZ SOLER, BENJAMIN/SANCHEZ SOLER, AUGUSTO;VILASSAR DE DALT;SANTA MARIA;08339;AVINGUDA;2;937530801;VILASSAR DE DALT
76649;F08001910;BRASO SERRA, JOSEFA;VILASSAR DE DALT;MESTRA VILADROSA;08339;CARRER;16;937530803;VILASSAR DE DALT
76650;F08001928;MIRABENT SALA, ANNA;SANT HIPOLIT DE VOLTREGA;BATLLE SERRALLONGA;08512;CARRER;8-10;938570080;SANT HIPOLIT DE VOLTREGA*
76651;F08001935;PAGES PUJOL, MONTSERRAT;SANT JOAN DESPI;BALTASAR D'ESPANYA;08970;CARRER;18-20;933730201;SANT JOAN DESPI 1
76652;F08001942;BASTE BARBERAN, MARTA/COMAS BASTE, ORIOL;VILASSAR DE MAR;SANT JOSEP;08340;CARRER;85;937590941;VILASSAR DE MAR
76653;F08001950;JOVER- SANTIÑA,D/JOVER-SANTIÑA,P;VILASSAR DE MAR;MONTSERRAT;08340;CARRER;1;937590939;VILASSAR DE MAR
76654;F08001967;ARDERIU SOLSONA, MANOLITA;SANT JUST DESVERN;BONAVISTA;08960;CARRER;61;933711288;SANT JUST DESVERN
76655;F08001974;CAUSIN TORRES, AURORA;SANT POL DE MAR;MANZANILLO;08595;CARRER;16;937600508;CANET DE MAR
76656;F08001981;PAGANS GOMEZ, JOAN J;SANT LLORENÇ SAVALL;CATALUNYA;08212;AVINGUDA;66;937140021;CASTELLAR DEL VALLES
76657;F08001999;HERNANDEZ MASSANA, RAFEL;SUBIRATS;PONENT;08739;CARRER;16;938993003;PENEDES-RURAL*
76658;F08002015;MIRET MESTRE, MA.JOSEP/MA.TERESA;SANT PERE DE RIBES;MARCER;08810;PLAÇA;1;938963579;RIBES-OLIVELLA
